Datum;Opnamen
16/02/2020;0
17/02/2020;0
18/02/2020;0
19/02/2020;0
20/02/2020;0
21/02/2020;0
22/02/2020;0
23/02/2020;0
24/02/2020;0
25/02/2020;0
26/02/2020;0
27/02/2020;1
28/02/2020;1
29/02/2020;3
01/03/2020;4
02/03/2020;7
03/03/2020;13
04/03/2020;17
05/03/2020;23
06/03/2020;29
07/03/2020;42
08/03/2020;56
09/03/2020;73
10/03/2020;91
11/03/2020;133
12/03/2020;177
13/03/2020;241
14/03/2020;305
15/03/2020;383
16/03/2020;505
17/03/2020;649
18/03/2020;823
19/03/2020;1063
20/03/2020;1369
21/03/2020;1697
22/03/2020;1986
23/03/2020;2306
24/03/2020;2865
25/03/2020;3363
26/03/2020;3852
27/03/2020;4387
28/03/2020;4871
29/03/2020;5264
30/03/2020;5610
31/03/2020;6106
01/04/2020;6449
02/04/2020;6789
03/04/2020;7124
04/04/2020;7408
05/04/2020;7654
06/04/2020;7883
07/04/2020;8123
08/04/2020;8317
09/04/2020;8492
