Datum;Opnamen
16/02/2020;0
17/02/2020;0
18/02/2020;0
19/02/2020;0
20/02/2020;0
21/02/2020;0
22/02/2020;0
23/02/2020;0
24/02/2020;0
25/02/2020;0
26/02/2020;0
27/02/2020;6
28/02/2020;6
29/02/2020;7
01/03/2020;9
02/03/2020;9
03/03/2020;10
04/03/2020;13
05/03/2020;14
06/03/2020;17
07/03/2020;19
08/03/2020;25
09/03/2020;32
10/03/2020;39
11/03/2020;49
12/03/2020;70
13/03/2020;80
14/03/2020;98
15/03/2020;122
16/03/2020;152
17/03/2020;180
18/03/2020;230
19/03/2020;291
20/03/2020;367
21/03/2020;433
22/03/2020;483
23/03/2020;576
24/03/2020;658
25/03/2020;756
26/03/2020;840
27/03/2020;928
28/03/2020;996
29/03/2020;1045
30/03/2020;1135
31/03/2020;1195
01/04/2020;1212
02/04/2020;1257
03/04/2020;1286
04/04/2020;1291
05/04/2020;1311
06/04/2020;1320
07/04/2020;1329
08/04/2020;1299
09/04/2020;1297
10/04/2020;1310
11/04/2020;1271
12/04/2020;1252
13/04/2020;1237
14/04/2020;1215
15/04/2020;1191
16/04/2020;1156
